## Data extracted from vis_cal.fits HDU #1:
#SIMPLE  =                    T / Fits standard
#BITPIX  =                  -32 / Bits per pixel
#NAXIS   =                    1 / Number of axes
#NAXIS1  =                38907 / Axis length
#EXTEND  =                    F / File may contain extensions
#ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator
#IRAF-TLM= '2010-04-06T17:55:10' / Time of last modification
#DATE    = '2010-04-06T17:55:11' / Creation UTC (CCCC-MM-DD) date of FITS header
#CDELT1  =             0.125000 /
#CRVAL1  =             5336.875 /
#COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
#COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
#AIRMASS =                 1.05
#APNUM1  = '1 1     '
#DC-FLAG =                    0
#WCSDIM  =                    1
#CTYPE1  = 'LINEAR  '
#CRPIX1  =                   1.
#CD1_1   =                0.125
#LTM1_1  =                   1.
#WAT0_001= 'system=equispec'
#WAT1_001= 'wtype=linear label=Wavelength units=angstroms'
#EXPTIME =                1200.
#EX-FLAG =                    0
#CA-FLAG =                    0
#BUNIT   = 'erg/cm2/s/A'
#END
#


# Wavelength  Flux
 5.33687500e+03  1.67633961e-15
 5.33700000e+03  1.92447770e-15
 5.33712500e+03  1.36759070e-15
 5.33725000e+03  -5.03305707e-16
 5.33737500e+03  -1.91770207e-15
 5.33750000e+03  -2.27913993e-15
 5.33762500e+03  1.87037130e-16
 5.33775000e+03  -5.24526084e-15
 5.33787500e+03  -1.15665737e-15
 5.33800000e+03  3.77885199e-15
 5.33812500e+03  1.84396870e-15
 5.33825000e+03  2.53149857e-15
 5.33837500e+03  -1.69177308e-15
 5.33850000e+03  -2.31762339e-15
 5.33862500e+03  1.09763982e-15
 5.33875000e+03  -2.57723920e-15
 5.33887500e+03  1.14363943e-15
 5.33900000e+03  1.24551700e-19
 5.33912500e+03  2.10479725e-15
 5.33925000e+03  9.41360484e-15
 5.33937500e+03  -2.65716544e-15
 5.33950000e+03  2.65436875e-15
 5.33962500e+03  -1.99132851e-15
 5.33975000e+03  1.24475642e-15
 5.33987500e+03  -1.31651875e-15
 5.34000000e+03  -4.47530705e-15
 5.34012500e+03  1.69879859e-15
 5.34025000e+03  5.65440842e-14
 5.34037500e+03  1.14046557e-14
 5.34050000e+03  -2.60315480e-15
 5.34062500e+03  4.34553313e-15
 5.34075000e+03  -3.30055557e-15
 5.34087500e+03  -5.10609566e-16
 5.34100000e+03  1.05964298e-15
 5.34112500e+03  -8.06829746e-16
 5.34125000e+03  2.42610734e-15
 5.34137500e+03  -6.13497027e-15
 5.34150000e+03  -1.59276340e-15
 5.34162500e+03  6.24429258e-15
 5.34175000e+03  -5.25500088e-16
 5.34187500e+03  -1.11669139e-15
 5.34200000e+03  1.90449429e-15
 5.34212500e+03  2.05295587e-15
 5.34225000e+03  -4.37904006e-15
 5.34237500e+03  1.65872546e-15
 5.34250000e+03  9.90664959e-16
 5.34262500e+03  9.27554970e-16
 5.34275000e+03  -1.33972004e-15
 5.34287500e+03  -1.48400850e-14
 5.34300000e+03  2.06513541e-16
 5.34312500e+03  -1.36905724e-15
 5.34325000e+03  8.82867523e-16
 5.34337500e+03  4.22209459e-15
 5.34350000e+03  2.48126253e-15
 5.34362500e+03  1.40098106e-15
 5.34375000e+03  -3.92164290e-16
 5.34387500e+03  2.83608802e-15
 5.34400000e+03  -3.65577048e-15
 5.34412500e+03  1.71950399e-15
 5.34425000e+03  7.10807550e-16
 5.34437500e+03  -5.49060157e-17
 5.34450000e+03  -2.98170844e-15
 5.34462500e+03  5.82332875e-16
 5.34475000e+03  -2.66874268e-15
 5.34487500e+03  2.29861978e-15
 5.34500000e+03  -6.58215963e-16
 5.34512500e+03  -9.63193987e-16
 5.34525000e+03  -1.18475120e-16
 5.34537500e+03  4.79960367e-17
 5.34550000e+03  8.25974054e-17
 5.34562500e+03  4.69647106e-16
 5.34575000e+03  -6.73269961e-17
 5.34587500e+03  4.85760266e-16
 5.34600000e+03  8.86068090e-16
 5.34612500e+03  1.54993286e-15
 5.34625000e+03  -1.00641945e-15
 5.34637500e+03  -3.35690380e-15
 5.34650000e+03  1.44951531e-15
 5.34662500e+03  -1.29908732e-17
 5.34675000e+03  -5.00291222e-16
 5.34687500e+03  -1.07610538e-15
 5.34700000e+03  -2.84535710e-15
 5.34712500e+03  -4.50838845e-16
 5.34725000e+03  -1.92488301e-15
 5.34737500e+03  -1.57901352e-15
 5.34750000e+03  -1.62630972e-15
 5.34762500e+03  -2.64818350e-15
 5.34775000e+03  -1.91140629e-15
 5.34787500e+03  1.29331777e-15
 5.34800000e+03  1.31937727e-15
 5.34812500e+03  1.02042885e-15
 5.34825000e+03  -6.28898511e-16
 5.34837500e+03  -1.14402546e-15
 5.34850000e+03  3.02110098e-15
 5.34862500e+03  -3.22416712e-16
 5.34875000e+03  -4.39580003e-16
 5.34887500e+03  -1.81751946e-15
 5.34900000e+03  9.96257600e-16
 5.34912500e+03  1.97929767e-15
 5.34925000e+03  -1.36793650e-15
 5.34937500e+03  -1.06806662e-15
 5.34950000e+03  1.61465709e-15
 5.34962500e+03  3.73894954e-16
 5.34975000e+03  -1.54658274e-15
 5.34987500e+03  2.94032082e-16
 5.35000000e+03  2.44109099e-16
 5.35012500e+03  8.55219468e-16
 5.35025000e+03  -3.66682866e-16
 5.35037500e+03  -2.09446472e-15
 5.35050000e+03  2.66944233e-15
 5.35062500e+03  -4.06142430e-15
 5.35075000e+03  1.44507135e-15
 5.35087500e+03  -8.43730260e-16
 5.35100000e+03  -8.10549756e-16
 5.35112500e+03  -1.44256519e-15
 5.35125000e+03  6.75701952e-16
 5.35137500e+03  1.74239349e-16
 5.35150000e+03  -1.48737609e-15
 5.35162500e+03  -7.12143850e-16
 5.35175000e+03  -1.36198027e-15
 5.35187500e+03  -5.52212701e-16
 5.35200000e+03  1.51881478e-15
 5.35212500e+03  1.04853489e-15
 5.35225000e+03  1.59973607e-15
 5.35237500e+03  -1.48960326e-15
 5.35250000e+03  -1.17096587e-15
 5.35262500e+03  -3.91728148e-16
 5.35275000e+03  -1.38890809e-15
